country,time,popcit_less_300k,popcit_less_300k_is_forecast,popcit_300_500k,popcit_300_500k_is_forecast,popcit_500k_1m,popcit_500k_1m_is_forecast,popcit_1_5m,popcit_1_5m_is_forecast,popcit_5_10m,popcit_5_10m_is_forecast,popcit_more_10m,popcit_more_10m_is_forecast
afg,1950,465127,False,0,False,0,False,0,False,0,False,0,False
afg,1955,587818,False,0,False,0,False,0,False,0,False,0,False
afg,1960,755797,False,0,False,0,False,0,False,0,False,0,False
afg,1965,615541,False,368809,False,0,False,0,False,0,False,0,False
afg,1970,823542,False,471891,False,0,False,0,False,0,False,0,False
afg,1975,1043168,False,0,False,674254,False,0,False,0,False,0,False
afg,1980,1141254,False,0,False,977824,False,0,False,0,False,0,False
afg,1985,998507,False,0,False,0,False,1239961,False,0,False,0,False
afg,1990,1044627,False,0,False,0,False,1549320,False,0,False,0,False
afg,1995,1768876,False,0,False,0,False,1928694,False,0,False,0,False
afg,2000,2035173,False,0,False,0,False,2401109,False,0,False,0,False
afg,2005,2449912,False,336746,False,0,False,2905178,False,0,False,0,False
afg,2010,2805786,False,742189,False,0,False,3289005,False,0,False,0,False
afg,2015,3351101,False,1292927,False,0,False,3723543,False,0,False,0,False
afg,2020,3740821,True,803720,True,1138264,True,4221532,True,0,True,0,True
afg,2025,4418819,True,397226,True,2011569,True,4877024,True,0,True,0,True
afg,2030,5211501,True,476899,True,2392359,True,0,True,5737138,True,0,True
afg,2035,5813839,True,322289,True,2325133,True,1057573,True,6760500,True,0,True
ago,1950,344543,False,0,False,0,False,0,False,0,False,0,False
ago,1955,455428,False,0,False,0,False,0,False,0,False,0,False
ago,1960,588842,False,0,False,0,False,0,False,0,False,0,False
ago,1965,460559,False,315108,False,0,False,0,False,0,False,0,False
ago,1970,554306,False,459225,False,0,False,0,False,0,False,0,False
ago,1975,871011,False,0,False,598504,False,0,False,0,False,0,False
ago,1980,1398461,False,0,False,771349,False,0,False,0,False,0,False
ago,1985,2183906,False,0,False,0,False,1034661,False,0,False,0,False
ago,1990,2720794,False,326355,False,0,False,1473848,False,0,False,0,False
ago,1995,3820640,False,415532,False,0,False,2066306,False,0,False,0,False
ago,2000,4636017,False,769987,False,0,False,2828820,False,0,False,0,False
ago,2005,5473666,False,1100984,False,502724,False,3872050,False,0,False,0,False
ago,2010,6024987,False,2092444,False,552957,False,0,False,5300466,False,0,False
ago,2015,6639605,False,1594694,False,2418240,False,0,False,7023206,False,0,False
ago,2020,8166970,True,736509,True,4703676,True,0,True,8329798,True,0,True
ago,2025,9997988,True,370189,True,5404007,True,1047806,True,0,True,10027897,True
ago,2030,11996812,True,447067,True,3255486,True,4609003,True,0,True,12128764,True
ago,2035,14260356,True,0,True,1263088,True,8672893,True,0,True,14495112,True
alb,1950,259305,False,0,False,0,False,0,False,0,False,0,False
alb,1955,381458,False,0,False,0,False,0,False,0,False,0,False
alb,1960,502359,False,0,False,0,False,0,False,0,False,0,False
alb,1965,592158,False,0,False,0,False,0,False,0,False,0,False
alb,1970,682607,False,0,False,0,False,0,False,0,False,0,False
alb,1975,788758,False,0,False,0,False,0,False,0,False,0,False
alb,1980,905234,False,0,False,0,False,0,False,0,False,0,False
alb,1985,1040849,False,0,False,0,False,0,False,0,False,0,False
alb,1990,1195379,False,0,False,0,False,0,False,0,False,0,False
alb,1995,1208874,False,0,False,0,False,0,False,0,False,0,False
alb,2000,967801,False,335336,False,0,False,0,False,0,False,0,False
alb,2005,1067130,False,371803,False,0,False,0,False,0,False,0,False
alb,2010,1125163,False,408697,False,0,False,0,False,0,False,0,False
alb,2015,1229713,False,449298,False,0,False,0,False,0,False,0,False
