country,time,bcg_vacc,bcg_vacc_is_forecast,dtp3_vacc,dtp3_vacc_is_forecast,hepb3_vacc,hepb3_vacc_is_forecast,hib3_vacc,hib3_vacc_is_forecast,mcv1_vacc,mcv1_vacc_is_forecast,mcv2_vacc,mcv2_vacc_is_forecast,pcv3_vacc,pcv3_vacc_is_forecast,pol3_vacc,pol3_vacc_is_forecast,rotac_vacc,rotac_vacc_is_forecast,six_vacc_rate,six_vacc_rate_is_forecast
afg,1980,,,4.0,False,,,,,11.0,False,,,,,,,,,,
afg,1981,,,3.0,False,,,,,,,,,,,3.0,False,,,,
afg,1982,10.0,False,5.0,False,,,,,8.0,False,,,,,5.0,False,,,,
afg,1983,10.0,False,5.0,False,,,,,9.0,False,,,,,5.0,False,,,,
afg,1984,11.0,False,16.0,False,,,,,14.0,False,,,,,16.0,False,,,,
afg,1985,17.0,False,15.0,False,,,,,14.0,False,,,,,15.0,False,,,,
afg,1986,18.0,False,11.0,False,,,,,14.0,False,,,,,11.0,False,,,,
afg,1987,27.0,False,25.0,False,,,,,31.0,False,,,,,25.0,False,,,,
afg,1988,40.0,False,35.0,False,,,,,34.0,False,,,,,35.0,False,,,,
afg,1989,38.0,False,33.0,False,,,,,22.0,False,,,,,33.0,False,,,,
afg,1990,30.0,False,25.0,False,,,,,20.0,False,,,,,25.0,False,,,,
afg,1991,21.0,False,23.0,False,,,,,19.0,False,,,,,23.0,False,,,,
afg,1992,19.0,False,21.0,False,,,,,22.0,False,,,,,21.0,False,,,,
afg,1993,17.0,False,18.0,False,,,,,25.0,False,,,,,18.0,False,,,,
afg,1994,15.0,False,12.0,False,,,,,40.0,False,,,,,8.0,False,,,,
afg,1995,31.0,False,20.0,False,,,,,41.0,False,,,,,20.0,False,,,,
afg,1996,47.0,False,31.0,False,,,,,42.0,False,,,,,31.0,False,,,,
afg,1997,43.0,False,28.0,False,,,,,38.0,False,,,,,28.0,False,,,,
afg,1998,35.0,False,27.0,False,,,,,31.0,False,,,,,28.0,False,,,,
afg,1999,38.0,False,27.0,False,,,,,31.0,False,,,,,27.0,False,,,,
afg,2000,30.0,False,24.0,False,,,,,27.0,False,,,,,24.0,False,,,,
afg,2001,43.0,False,33.0,False,,,,,37.0,False,,,,,35.0,False,,,,
afg,2002,46.0,False,36.0,False,,,,,35.0,False,,,,,36.0,False,,,,
afg,2003,44.0,False,41.0,False,,,,,39.0,False,,,,,41.0,False,,,,
afg,2004,51.0,False,50.0,False,,,,,48.0,False,2.0,False,,,50.0,False,,,,
afg,2005,57.0,False,58.0,False,,,,,50.0,False,9.0,False,,,58.0,False,,,,
afg,2006,60.0,False,58.0,False,,,,,53.0,False,18.0,False,,,58.0,False,,,,
afg,2007,60.0,False,63.0,False,63.0,False,,,55.0,False,4.0,False,,,63.0,False,,,,
afg,2008,66.0,False,64.0,False,64.0,False,,,59.0,False,23.0,False,,,64.0,False,,,,
afg,2009,64.0,False,63.0,False,63.0,False,63.0,False,60.0,False,24.0,False,,,63.0,False,,,60.0,False
afg,2010,68.0,False,66.0,False,66.0,False,66.0,False,62.0,False,29.0,False,,,66.0,False,,,62.0,False
